18:21:21.399 0 zb_ib.c:115	aps_channel_mask 0x1800
18:21:21.399 0 mac.c:76	>>mac_init
18:21:21.399 0 mac.c:137	zb_get_out_buf: zb_mac_init
18:21:21.399 0 zb_bufpool.c:141	=================
18:21:21.399 0 zb_bufpool.c:142	GET BUF 0x55568237a990
18:21:21.399 0 zb_bufpool.c:143	ref 0
18:21:21.399 0 zb_bufpool.c:144	allocated 0: 1
18:21:21.399 0 zb_bufpool.c:145	allocated 1: 0
18:21:21.400 0 zb_bufpool.c:146	=================
18:21:21.400 0 mac.c:139	zb_get_in_buf: zb_mac_init
18:21:21.400 0 zb_bufpool.c:141	=================
18:21:21.400 0 zb_bufpool.c:142	GET BUF 0x55568237aa30
18:21:21.400 0 zb_bufpool.c:143	ref 1
18:21:21.400 0 zb_bufpool.c:144	allocated 0: 1
18:21:21.400 0 zb_bufpool.c:145	allocated 1: 1
18:21:21.400 0 zb_bufpool.c:146	=================
18:21:21.400 0 mac.c:142	zb_get_in_buf: zb_mac_init
18:21:21.400 0 zb_bufpool.c:141	=================
18:21:21.400 0 zb_bufpool.c:142	GET BUF 0x55568237aad0
18:21:21.400 0 zb_bufpool.c:143	ref 2
18:21:21.400 0 zb_bufpool.c:144	allocated 0: 2
18:21:21.400 0 zb_bufpool.c:145	allocated 1: 1
18:21:21.400 0 zb_bufpool.c:146	=================
18:21:21.400 0 mac.c:166	<<mac_init
18:21:21.400 0 nwk_main.c:93	+nwk_init
18:21:21.400 0 nwk_main.c:115	>>nib_init
18:21:21.400 0 nwk_main.c:128	<<nib_init
18:21:21.400 0 nwk_neighbor.c:67	nb_init
18:21:21.400 0 nwk_main.c:110	-nwk_init
18:21:21.400 0 aps_main.c:94	+zb_aps_init
18:21:21.404 0 aps_main.c:109	-zb_aps_init
18:21:21.404 0 af_descriptor.c:256	zb_set_default_ed_descriptor_values
18:21:21.404 0 af_descriptor.c:85	node desc, server_mask 0 mac cap 0x8
18:21:21.404 0 af_descriptor.c:160	cluster_id 0x8000, cluster_number 0, input count 7
18:21:21.404 0 af_descriptor.c:160	cluster_id 0x8001, cluster_number 1, input count 7
18:21:21.404 0 af_descriptor.c:160	cluster_id 0x8002, cluster_number 2, input count 7
18:21:21.404 0 af_descriptor.c:160	cluster_id 0x8003, cluster_number 3, input count 7
18:21:21.404 0 af_descriptor.c:160	cluster_id 0x8004, cluster_number 4, input count 7
18:21:21.405 0 af_descriptor.c:160	cluster_id 0x8005, cluster_number 5, input count 7
18:21:21.405 0 af_descriptor.c:160	cluster_id 0x8006, cluster_number 6, input count 7
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x0, cluster_number 0, output count 8
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x1, cluster_number 1, output count 8
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x2, cluster_number 2, output count 8
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x3, cluster_number 3, output count 8
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x4, cluster_number 4, output count 8
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x5, cluster_number 5, output count 8
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x6, cluster_number 6, output count 8
18:21:21.405 0 af_descriptor.c:174	cluster_id 0x13, cluster_number 7, output count 8
18:21:21.405 0 zdo_app.c:131	ext pan id 0 - startup
18:21:21.405 0 zb_bufpool.c:141	=================
18:21:21.405 0 zb_bufpool.c:142	GET BUF 0x55568237ab70
18:21:21.405 0 zb_bufpool.c:143	ref 3
18:21:21.405 0 zb_bufpool.c:144	allocated 0: 3
18:21:21.405 0 zb_bufpool.c:145	allocated 1: 1
18:21:21.405 0 zb_bufpool.c:146	=================
18:21:21.405 0 zdo_app.c:181	disc, then join by assoc
18:21:21.405 0 zb_scheduler.c:254	0x55568237a3e0 scheduled cb 0x5556821569b3 param 3 (in_b 0)
18:21:21.405 0 zdo_app.c:199	return now
18:21:21.405 0 zb_scheduler.c:105	cb_q written 1, read_i 0, write_i 1
18:21:21.405 0 zb_scheduler.c:115	0x55568237a3e0 calling cb 0x5556821569b3 param 3 in_b 0 len 0
18:21:21.405 0 nwk_discovery.c:65	>>zb_nlme_network_discovery_request 0x55568237ac07
18:21:21.405 0 nwk_discovery.c:99	scan channels 0x1800 scan_duration 8
18:21:21.405 0 zb_scheduler.c:254	0x55568237a3f0 scheduled cb 0x55568216cd39 param 3 (in_b 0)
18:21:21.405 0 nwk_discovery.c:112	<<zb_nlme_network_discovery_request
18:21:21.405 0 zb_scheduler.c:105	cb_q written 1, read_i 1, write_i 2
18:21:21.405 0 zb_scheduler.c:115	0x55568237a3f0 calling cb 0x55568216cd39 param 3 in_b 0 len 0
18:21:21.406 0 mac_scan.c:104	>> zb_mlme_scan_request 3
18:21:21.406 0 zb_scheduler.c:254	0x55568237a400 scheduled cb 0x55568216cc15 param 3 (in_b 0)
18:21:21.406 0 mac_scan.c:136	<< zb_mlme_scan_request
18:21:21.406 0 zb_scheduler.c:105	cb_q written 1, read_i 2, write_i 3
18:21:21.406 0 zb_scheduler.c:115	0x55568237a400 calling cb 0x55568216cc15 param 3 in_b 0 len 0
18:21:21.406 0 mac_scan.c:67	>> zb_handle_scan_request
18:21:21.406 0 mac_scan.c:360	>> zb_mlme_active_scan
18:21:21.406 0 mac_scan.c:365	idle state, set beacon found == 0
18:21:21.406 0 mac_scan.c:372	set beacon mode ret 0, param channels 0x1800
18:21:21.406 0 mac_scan.c:385	chan mask 1800 0 , chan 11
18:21:21.406 0 zb_scheduler.c:254	0x55568237a410 scheduled cb 0x55568216d081 param 0 (in_b 255)
18:21:21.406 0 mac_scan.c:387	<< zb_mlme_active_scan, ret 0
18:21:21.406 0 mac_scan.c:92	<< zb_handle_scan_request i
18:21:21.406 0 zb_scheduler.c:105	cb_q written 1, read_i 3, write_i 4
